transaction_id,event_id,purchase_datetime,tickets_qty,price_paid_total,channel,tariff,buyer_geo,lead_time_days
T000001,E003,2026-02-13 09:40:00,1,10.3,web,early_bird,local,22
T000002,E003,2026-03-06 03:50:00,1,14.13,web,last_minute,touriste,1
T000003,E003,2026-03-05 07:50:00,2,24.64,partenaire,reduit,local,2
T000004,E003,2026-02-28 03:50:00,1,15.37,web,plein,local,7
T000005,E003,2026-01-25 05:40:00,2,23.57,web,early_bird,local,41
T000006,E003,2026-03-06 13:00:00,3,39.94,guichet,last_minute,local,0
T000007,E003,2026-03-06 17:00:00,1,15.66,web,plein,local,0
T000008,E003,2026-03-05 08:20:00,2,22.56,web,reduit,local,2
T000009,E003,2026-02-13 04:00:00,1,15.18,web,plein,local,22
T000010,E003,2026-02-18 11:10:00,2,23.23,guichet,reduit,touriste,17
T000011,E003,2026-02-07 07:40:00,1,15.2,web,plein,local,28
T000012,E003,2026-02-28 11:50:00,1,11.74,web,early_bird,local,7
T000013,E003,2026-03-06 15:00:00,1,12.87,partenaire,reduit,local,0
T000014,E003,2026-02-24 06:00:00,1,15.21,web,plein,local,11
T000015,E003,2026-03-01 06:00:00,1,15.45,web,plein,local,6
T000016,E003,2026-03-02 03:20:00,3,44.1,web,plein,local,5
T000017,E003,2026-02-16 06:40:00,3,47.08,web,plein,local,19
T000018,E003,2026-02-27 10:10:00,3,45.92,guichet,plein,local,8
T000019,E003,2026-01-15 04:50:00,3,34.07,guichet,early_bird,local,51
T000020,E003,2026-03-01 14:00:00,1,14.8,web,plein,local,6
T000021,E003,2026-02-09 09:50:00,3,0.0,pass,reduit,local,26
T000022,E003,2026-02-24 06:40:00,1,13.41,guichet,plein,local,11
T000023,E003,2026-02-18 06:00:00,1,14.79,web,plein,local,17
T000024,E003,2026-03-02 03:50:00,4,60.52,guichet,plein,local,5
T000025,E003,2026-03-06 16:00:00,2,27.31,guichet,last_minute,touriste,0
T000026,E003,2026-02-22 03:10:00,4,59.96,web,plein,touriste,13
T000027,E003,2026-03-06 15:00:00,1,0.0,pass,plein,local,0
