category,check,issues,rows_checked,issue_rate
schema,events required columns present,1,1,100.0%
schema,transactions required columns present,1,1,100.0%
schema,attendance required columns present,1,1,100.0%
duplicates,events.event_id duplicates,0,24,0.0%
duplicates,transactions.transaction_id duplicates,0,5000,0.0%
duplicates,attendance.transaction_id duplicates,0,5000,0.0%
integrity,orphan transactions (event_id not in events),0,5000,0.0%
integrity,orphan attendance (transaction_id not in transactions),0,5000,0.0%
rules,capacity <= 0,0,24,0.0%
rules,base_price <= 0,0,24,0.0%
rules,tickets_qty <= 0,0,5000,0.0%
rules,price_paid_total <= 0,290,5000,5.8%
rules,lead_time_days < 0,0,5000,0.0%
rules,purchase after event date,0,5000,0.0%
rules,"attendance not in {0,1}",0,5000,0.0%
